Activities
9.0
483.0
1.0
121.0
528.0
5.0
64.0
3552.0
7.0
1.0
1.0
460.0
4.0
14.0
73.0
540.0
15.0
420.0
11.0
7.0
127.0
42.0
2.0
22.0
108.0
2.0
652.0
308.0
110.0
54.0
3.0
96.0
5.0
27.0
6.0
2.0
291.0
1.0
2.0
11.0
1.0
28.0
47.0
96.0
23885.0
1.0
1.0
120.0
118.0
113.0
3.0
13.0
171.0
6441.0
10.0
3.0
6.0
3.0
12.0
17609.0
16.0
85.0
162.0
114.0
2.0
3.0
33.0
2.0
2.0
9.0
3.0
445.0
233.0
125.0
3.0
8.0
206847.0
577.0
153.0
86.0
234.0
5.0
106.0
5.0
158.0
191.0
21.0
54.0
6.0
493.0
1.0
19.0
2676.0
2.0
10119.0
97.0
29.0
8.0
80.0
165.0
6.0
2.0
59.0
1.0
4.0
8.0
3266.0
1.0
32.0
4.0
31.0
114.0
8.0
182.0
1.0
1.0
4.0
2.0
4.0
720.0
795.0
1.0
197.0
2902.0
60.0
89.0
77.0
1.0
31.0
68296.0
7.0
12.0
78.0
435.0
168.0
18.0
15.0
12.0
294.0
144.0
24.0
10.0
9.0
111.0
51.0
7.0
3.0
440.0
2.0
71.0
2.0
4.0
47.0
16.0
8.0
5.0
1.0
11.0
5.0
89.0
135.0
20.0
3707.0
10.0
68896.0
800.0
1.0
85.0
347.0
279.0
2.0
30.0
1.0
97.0
3.0
350.0
21.0
101.0
161.0
10.0
182.0
45.0
22.0
614.0
28.0
1.0
2.0
57.0
22.0
5.0
125.0
161.0
2.0
139.0
3.0
112.0
35.0
54.0
669.0
18.0
7519.0
36.0
2.0
17.0
498.0
663.0
139.0
11.0
905.0
12.0
130.0
506.0
104.0
31.0
49170.0
88.0
7.0
92.0
5.0
4.0
113.0
23.0
8.0
5.0
126.0
230.0
110.0
320.0
21.0
2.0
73.0
137.0
12.0
1145.0
2.0
4365.0
15.0
102.0
3.0
2.0
503.0
1.0
2.0
37.0
13.0
17.0
301.0
1.0
6.0
20.0
105.0
101.0
1463.0
2196.0
56.0
263.0
81.0
152.0
1.0
410.0
166.0
8.0
65.0
68.0
5.0
837.0
1.0
2.0
49.0
118.0
430.0
105.0
231.0
8.0
6.0
504.0
209.0
562.0
3555.0
12.0
15.0
38.0
61.0
1.0
37.0
278.0
263.0
40.0
3.0
26.0
78.0
7.0
1055.0
24.0
2460.0
3.0
139.0
11554.0
52.0
110.0
249.0
5575.0
163.0
14.0
2.0
25.0
20.0
1046.0
17.0
12.0
121.0
1.0
281.0
50.0
1.0
1.0
139.0
8.0
331.0
61.0
1034.0
2.0
1.0
1.0
55.0
294.0
8.0
135.0
8.0
1.0
147.0
11.0
1.0
2.0
37.0
11.0
144.0
249.0
1310.0
2.0
290.0
2.0
8.0
379.0
366.0
24.0
34.0
108.0
139.0
10.0
53.0
167.0
1.0
5.0
115.0
1125.0
3.0
9.0
168.0
1.0
2896.0
3.0
627.0
88.0
339.0
6.0
7.0
36.0
26.0
14.0
7.0
51.0
83.0
198763.0
20.0
44.0
90.0
56.0
196.0
333.0
19.0
1.0
1.0
937.0
397.0
15.0
17.0
14.0
8589.0
53.0
86.0
113.0
2.0
66.0
1.0
2.0
12.0
32.0
6.0
20.0
30.0
497.0
97.0
50.0
1080.0
3.0
11.0
51.0
1166.0
39.0
82.0
10.0
1.0
72.0
59.0
116.0
59.0
1758.0
7.0
89.0
2698.0
3.0
1.0
10.0
2.0
6.0
5.0
1.0
3.0
1.0
84.0
4.0
60.0
8.0
178.0
222.0
31.0
1.0
1.0
57.0
2.0
1187.0
4.0
2.0
71.0
73.0
4.0
30.0
18.0
119.0
3.0
91.0
1.0
525.0
1147.0
12055.0
35.0
1.0
619.0
6.0
1.0
90.0
20.0
2.0
1.0
1.0
379.0
2.0
21.0
4.0
45.0
1.0
785.0
9.0
22.0
29.0
25.0
371.0
246.0
39.0
4016.0
6.0
51.0
9.0
44.0
1.0
24.0
4.0
2.0
2179.0
151.0
1.0
11.0
1.0
178.0
425.0
18.0
47800.0
33.0
187.0
29.0
2318.0
12.0
1.0
43.0
3.0
3.0
69.0
15.0
1.0
44.0
12.0
3.0
3.0
56.0
1519.0
395.0
8416.0
29.0
100.0
11.0
6.0
5.0
392.0
34.0
703.0
3.0
53.0
2.0
89.0
18.0
204.0
223.0
20.0
6.0
1157.0
4.0
35.0
20.0
184.0
170.0
67.0
9.0
12.0
4.0
523.0
45.0
11007.0
1931.0
13.0
143.0
240.0
10781.0
1.0
8.0
31.0
1765.0
129.0
15403.0
